id_transaccion,fecha,quarter,region,producto,categoria,cantidad,precio_unit,descuento_pct,cliente_id,vendedor,notas
TX-000023,2026-03-08,Q1,Trujillo,Resma Papel A4,Suministros,35,27.47,0.0,CL-4912,José Luis Quispe,Cliente recurrente
TX-000024,2026-12-05,Q4,Trujillo,Silla Ergonómica,Mobiliario,27,892.2,0.05,CL-2907,Diego Salazar,Devolución parcial Q anterior
TX-000025,2026-10-13,Q4,Lima,Auriculares BT,Electrónica,16,213.72,0.1,CL-4782,Lucía Romero,
TX-000026,2026-08-24,Q3,Arequipa,Laptop Air 13,Tecnología,3,3081.35,0.2,CL-6305,María Fernández,Solicita factura electrónica
TX-000027,2026-05-27,Q2,Chiclayo,Teclado Mecánico,Tecnología,33,364.9,0.05,CL-6670,Lucía Romero,"Pedido grande, descuento aplicado"
TX-000028,2026-10-28,Q4,Piura,Laptop Air 13,Tecnología,35,3091.82,0.15,CL-4125,José Luis Quispe,
TX-000029,2026-07-19,Q3,Piura,Resma Papel A4,Suministros,24,29.06,0.2,CL-1914,Carlos Vega,"Pedido grande, descuento aplicado"
TX-000030,2026-06-11,Q2,Arequipa,Monitor 27 4K,Tecnología,36,1827.08,0.1,CL-6487,Ana Torres,
TX-000031,2026-06-14,Q2,Lima,Teclado Mecánico,Tecnología,39,352.69,0.2,CL-7345,Ana Torres,Cliente premium
TX-000032,2026-03-24,Q1,Arequipa,Auriculares BT,Electrónica,26,225.53,0.2,CL-3406,Carlos Vega,Solicita factura electrónica
TX-000033,2026-02-03,Q1,Chiclayo,Mouse Inalámbrico,Tecnología,3,122.71,0.15,CL-6755,Lucía Romero,
TX-000034,2026-07-22,Q3,Trujillo,Laptop Air 13,Tecnología,43,3075.37,0.05,CL-6120,María Fernández,Compra urgente
TX-000035,2026-11-21,Q4,Piura,Laptop Pro 15,Tecnología,23,4724.76,0.05,CL-5511,María Fernández,
TX-000036,2026-01-24,Q1,Cusco,Monitor 27 4K,Tecnología,33,1879.54,0.2,CL-1073,María Fernández,
TX-000037,2026-11-10,Q4,Cusco,Auriculares BT,Electrónica,45,228.73,0.1,CL-3765,Carlos Vega,Primera compra
TX-000038,2026-10-30,Q4,Trujillo,Escritorio Ajustable,Mobiliario,18,1214.67,0.0,CL-4369,Lucía Romero,Primera compra
TX-000039,2026-04-12,Q2,Chiclayo,Webcam HD,Electrónica,31,180.41,0.15,CL-8503,Ana Torres,Cliente recurrente
TX-000040,2026-08-19,Q3,Cusco,Monitor 27 4K,Tecnología,1,1806.53,0.05,CL-8436,José Luis Quispe,"Pedido grande, descuento aplicado"
TX-000041,2026-03-02,Q1,Trujillo,Mouse Inalámbrico,Tecnología,44,114.18,0.2,CL-8862,Diego Salazar,
TX-000042,2026-10-04,Q4,Chiclayo,Laptop Air 13,Tecnología,3,3199.83,0.2,CL-5166,Diego Salazar,"Pedido grande, descuento aplicado"
TX-000043,2026-09-13,Q3,Cusco,Mouse Inalámbrico,Tecnología,27,121.49,0.0,CL-3941,María Fernández,Primera compra
TX-000044,2026-05-10,Q2,Chiclayo,Escritorio Ajustable,Mobiliario,18,1219.04,0.2,CL-5492,Diego Salazar,Compra urgente
TX-000045,2026-01-25,Q1,Trujillo,Cartucho Tinta Negra,Suministros,2,73.74,0.2,CL-8124,Carlos Vega,Cliente premium
TX-000046,2026-12-21,Q4,Chiclayo,Mouse Inalámbrico,Tecnología,23,119.66,0.15,CL-6593,Carlos Vega,Compra urgente
TX-000047,2026-06-12,Q2,Cusco,Cartucho Tinta Negra,Suministros,46,76.02,0.05,CL-6410,María Fernández,
TX-000048,2026-11-22,Q4,Trujillo,Lámpara LED,Mobiliario,9,94.32,0.15,CL-4907,Ana Torres,"Pedido grande, descuento aplicado"
TX-000049,2026-09-05,Q3,Arequipa,Teclado Mecánico,Tecnología,15,366.17,0.2,CL-7267,Carlos Vega,
TX-000050,2026-10-12,Q4,Trujillo,Auriculares BT,Electrónica,10,224.52,0.2,CL-8802,Diego Salazar,Cliente premium
TX-000051,2026-10-05,Q4,Arequipa,Silla Ergonómica,Mobiliario,7,807.61,0.1,CL-7011,Lucía Romero,Compra urgente
TX-000052,2026-03-13,Q1,Trujillo,Laptop Air 13,Tecnología,12,3047.45,0.15,CL-4629,Carlos Vega,Compra urgente
TX-000053,2026-05-13,Q2,Piura,Webcam HD,Electrónica,29,183.43,0.05,CL-8558,Carlos Vega,"Pedido grande, descuento aplicado"
TX-000054,2026-06-20,Q2,Cusco,Auriculares BT,Electrónica,39,218.08,0.05,CL-9482,María Fernández,
TX-000055,2026-07-01,Q3,Cusco,Laptop Pro 15,Tecnología,34,4652.76,0.15,CL-8168,Ana Torres,Cliente premium
TX-000056,2026-01-16,Q1,Arequipa,Auriculares BT,Electrónica,38,212.81,0.1,CL-8891,Ana Torres,Devolución parcial Q anterior
TX-000057,2026-07-19,Q3,Piura,Webcam HD,Electrónica,36,171.25,0.05,CL-3389,Diego Salazar,"Pedido grande, descuento aplicado"
TX-000058,2026-02-26,Q1,Trujillo,Cartucho Tinta Negra,Suministros,19,74.16,0.15,CL-4789,Lucía Romero,
TX-000059,2026-09-29,Q3,Trujillo,Teclado Mecánico,Tecnología,45,358.26,0.05,CL-3243,Lucía Romero,Devolución parcial Q anterior
TX-000060,2026-09-07,Q3,Lima,Lámpara LED,Mobiliario,9,99.48,0.1,CL-4291,Carlos Vega,
TX-000061,2026-12-03,Q4,Lima,Escritorio Ajustable,Mobiliario,35,1246.04,0.05,CL-7600,Diego Salazar,Cliente premium
TX-000062,2026-09-29,Q3,Lima,Lámpara LED,Mobiliario,6,94.85,0.2,CL-7088,Carlos Vega,Cliente premium
TX-000063,2026-05-14,Q2,Chiclayo,Lámpara LED,Mobiliario,38,97.97,0.2,CL-1028,Diego Salazar,
TX-000064,2026-12-20,Q4,Chiclayo,Lámpara LED,Mobiliario,5,90.92,0.1,CL-7797,José Luis Quispe,"Pedido grande, descuento aplicado"
TX-000065,2026-05-30,Q2,Lima,Escritorio Ajustable,Mobiliario,11,1208.67,0.15,CL-2728,Carlos Vega,Devolución parcial Q anterior
TX-000066,2026-04-29,Q2,Lima,Resma Papel A4,Suministros,20,29.19,0.0,CL-2672,Lucía Romero,Compra urgente
TX-000067,2026-11-27,Q4,Piura,Escritorio Ajustable,Mobiliario,35,1187.57,0.2,CL-5892,María Fernández,
TX-000068,2026-05-16,Q2,Trujillo,Laptop Pro 15,Tecnología,3,4707.05,0.05,CL-3169,Carlos Vega,"Pedido grande, descuento aplicado"
TX-000069,2026-01-28,Q1,Arequipa,Laptop Pro 15,Tecnología,13,4374.31,0.2,CL-9665,Lucía Romero,
TX-000070,2026-06-21,Q2,Trujillo,Webcam HD,Electrónica,17,172.9,0.2,CL-2316,Lucía Romero,Primera compra
TX-000071,2026-10-18,Q4,Arequipa,Auriculares BT,Electrónica,36,220.54,0.0,CL-2364,José Luis Quispe,
TX-000072,2026-03-11,Q1,Arequipa,Lámpara LED,Mobiliario,48,98.87,0.0,CL-7845,María Fernández,
TX-000073,2026-06-18,Q2,Cusco,Monitor 27 4K,Tecnología,31,1766.03,0.15,CL-3578,Carlos Vega,Solicita factura electrónica
TX-000074,2026-02-17,Q1,Chiclayo,Cartucho Tinta Negra,Suministros,25,77.25,0.2,CL-7428,María Fernández,Solicita factura electrónica
TX-000075,2026-09-08,Q3,Piura,Laptop Air 13,Tecnología,17,3094.14,0.15,CL-7132,Diego Salazar,Primera compra
TX-000076,2026-06-23,Q2,Arequipa,Mouse Inalámbrico,Tecnología,41,122.95,0.0,CL-2701,María Fernández,Devolución parcial Q anterior
TX-000077,2026-05-01,Q2,Trujillo,Teclado Mecánico,Tecnología,6,352.0,0.15,CL-6218,Diego Salazar,Solicita factura electrónica
TX-000078,2026-03-24,Q1,Chiclayo,Laptop Pro 15,Tecnología,7,4353.76,0.05,CL-5831,Ana Torres,
TX-000079,2026-07-26,Q3,Chiclayo,Cartucho Tinta Negra,Suministros,10,76.64,0.2,CL-1851,Ana Torres,"Pedido grande, descuento aplicado"
TX-000080,2026-09-02,Q3,Piura,Escritorio Ajustable,Mobiliario,14,1225.65,0.2,CL-7877,Carlos Vega,Compra urgente
TX-000081,2026-12-10,Q4,Lima,Teclado Mecánico,Tecnología,23,350.54,0.15,CL-8715,Ana Torres,Primera compra
TX-000082,2026-06-09,Q2,Arequipa,Escritorio Ajustable,Mobiliario,47,1167.06,0.1,CL-9522,Diego Salazar,Compra urgente
TX-000083,2026-02-28,Q1,Arequipa,Laptop Pro 15,Tecnología,32,4334.53,0.05,CL-1791,María Fernández,
TX-000084,2026-10-31,Q4,Lima,Silla Ergonómica,Mobiliario,19,888.87,0.2,CL-2606,Ana Torres,Devolución parcial Q anterior
TX-000085,2026-08-18,Q3,Arequipa,Escritorio Ajustable,Mobiliario,11,1218.7,0.0,CL-8425,José Luis Quispe,Cliente premium
TX-000086,2026-09-13,Q3,Arequipa,Mouse Inalámbrico,Tecnología,32,123.71,0.0,CL-3738,Diego Salazar,Cliente recurrente
TX-000087,2026-02-05,Q1,Trujillo,Cartucho Tinta Negra,Suministros,13,76.48,0.0,CL-6629,Diego Salazar,"Pedido grande, descuento aplicado"
TX-000088,2026-04-25,Q2,Cusco,Monitor 27 4K,Tecnología,48,1859.31,0.1,CL-4134,Ana Torres,
TX-000089,2026-10-08,Q4,Cusco,Laptop Air 13,Tecnología,24,3092.0,0.0,CL-2958,Lucía Romero,Solicita factura electrónica
TX-000090,2026-10-31,Q4,Arequipa,Escritorio Ajustable,Mobiliario,27,1199.63,0.1,CL-6624,María Fernández,
TX-000091,2026-06-08,Q2,Lima,Auriculares BT,Electrónica,45,223.68,0.0,CL-2849,Diego Salazar,
TX-000092,2026-10-21,Q4,Chiclayo,Mouse Inalámbrico,Tecnología,15,115.24,0.2,CL-2227,José Luis Quispe,
TX-000093,2026-11-04,Q4,Trujillo,Laptop Pro 15,Tecnología,24,4342.48,0.1,CL-5773,Lucía Romero,
TX-000094,2026-05-22,Q2,Arequipa,Webcam HD,Electrónica,27,182.41,0.0,CL-2740,Diego Salazar,
TX-000095,2026-11-24,Q4,Piura,Silla Ergonómica,Mobiliario,14,881.34,0.15,CL-2730,Diego Salazar,Primera compra
TX-000096,2026-04-16,Q2,Piura,Monitor 27 4K,Tecnología,3,1828.87,0.05,CL-8023,Ana Torres,Compra urgente
TX-000097,2026-03-29,Q1,Chiclayo,Lámpara LED,Mobiliario,14,90.59,0.05,CL-5758,Lucía Romero,
TX-000098,2026-09-07,Q3,Lima,Teclado Mecánico,Tecnología,6,366.47,0.15,CL-5877,Ana Torres,"Pedido grande, descuento aplicado"
TX-000099,2026-08-21,Q3,Trujillo,Webcam HD,Electrónica,34,173.51,0.2,CL-2290,Diego Salazar,Compra urgente
TX-000100,2026-02-21,Q1,Chiclayo,Teclado Mecánico,Tecnología,1,340.64,0.2,CL-2443,José Luis Quispe,Solicita factura electrónica
TX-000101,2026-10-31,Q4,Piura,Escritorio Ajustable,Mobiliario,16,1257.0,0.1,CL-4516,Carlos Vega,Cliente premium
TX-000102,2026-03-14,Q1,Arequipa,Escritorio Ajustable,Mobiliario,44,1232.52,0.2,CL-4495,Carlos Vega,Compra urgente
TX-000103,2026-10-21,Q4,Chiclayo,Monitor 27 4K,Tecnología,28,1878.58,0.05,CL-5064,Diego Salazar,Compra urgente
TX-000104,2026-01-03,Q1,Cusco,Silla Ergonómica,Mobiliario,33,876.06,0.2,CL-2210,José Luis Quispe,Solicita factura electrónica
TX-000105,2026-10-18,Q4,Cusco,Laptop Air 13,Tecnología,33,3248.56,0.2,CL-9085,Carlos Vega,Cliente recurrente
TX-000106,2026-10-15,Q4,Trujillo,Lámpara LED,Mobiliario,15,92.95,0.1,CL-4263,Lucía Romero,Solicita factura electrónica
TX-000107,2026-10-12,Q4,Piura,Cartucho Tinta Negra,Suministros,31,73.7,0.1,CL-8345,Lucía Romero,Devolución parcial Q anterior
TX-000108,2026-08-31,Q3,Lima,Webcam HD,Electrónica,11,188.05,0.1,CL-4601,Ana Torres,"Pedido grande, descuento aplicado"
TX-000109,2026-06-22,Q2,Trujillo,Teclado Mecánico,Tecnología,32,362.62,0.0,CL-5249,Carlos Vega,Compra urgente
TX-000110,2026-09-15,Q3,Piura,Teclado Mecánico,Tecnología,34,345.08,0.2,CL-2008,Diego Salazar,
TX-000111,2026-04-12,Q2,Trujillo,Escritorio Ajustable,Mobiliario,43,1184.79,0.15,CL-7089,María Fernández,
TX-000112,2026-10-12,Q4,Arequipa,Resma Papel A4,Suministros,46,27.43,0.2,CL-1538,Ana Torres,Compra urgente
TX-000113,2026-07-22,Q3,Lima,Webcam HD,Electrónica,2,176.87,0.0,CL-7730,José Luis Quispe,Compra urgente
TX-000114,2026-06-17,Q2,Trujillo,Laptop Pro 15,Tecnología,15,4662.3,0.2,CL-8933,Diego Salazar,Primera compra
TX-000115,2026-07-04,Q3,Piura,Monitor 27 4K,Tecnología,27,1711.89,0.05,CL-4254,José Luis Quispe,Devolución parcial Q anterior
TX-000116,2026-07-27,Q3,Trujillo,Teclado Mecánico,Tecnología,16,347.76,0.2,CL-8987,Diego Salazar,
TX-000117,2026-01-14,Q1,Chiclayo,Teclado Mecánico,Tecnología,31,365.5,0.2,CL-7288,Ana Torres,Devolución parcial Q anterior
TX-000118,2026-02-21,Q1,Trujillo,Silla Ergonómica,Mobiliario,42,853.62,0.2,CL-1023,Lucía Romero,Cliente premium
TX-000119,2026-03-31,Q1,Trujillo,Auriculares BT,Electrónica,13,218.91,0.2,CL-2825,José Luis Quispe,Devolución parcial Q anterior
TX-000120,2026-02-11,Q1,Lima,Laptop Pro 15,Tecnología,44,4415.57,0.0,CL-6770,Diego Salazar,"Pedido grande, descuento aplicado"
TX-000121,2026-06-10,Q2,Trujillo,Cartucho Tinta Negra,Suministros,44,71.8,0.05,CL-7314,José Luis Quispe,Devolución parcial Q anterior
TX-000122,2026-09-01,Q3,Arequipa,Lámpara LED,Mobiliario,45,92.38,0.05,CL-1843,Lucía Romero,
TX-000123,2026-08-27,Q3,Piura,Lámpara LED,Mobiliario,4,91.11,0.1,CL-7161,Ana Torres,Primera compra
TX-000124,2026-06-21,Q2,Lima,Resma Papel A4,Suministros,15,26.95,0.2,CL-8290,Ana Torres,"Pedido grande, descuento aplicado"
TX-000125,2026-11-09,Q4,Chiclayo,Laptop Air 13,Tecnología,7,3092.33,0.15,CL-1826,Lucía Romero,Devolución parcial Q anterior
TX-000126,2026-07-26,Q3,Arequipa,Resma Papel A4,Suministros,6,27.45,0.1,CL-8915,Ana Torres,Primera compra
TX-000127,2026-01-29,Q1,Cusco,Monitor 27 4K,Tecnología,3,1711.98,0.2,CL-5797,Diego Salazar,Primera compra
TX-000128,2026-10-07,Q4,Lima,Escritorio Ajustable,Mobiliario,22,1254.02,0.0,CL-6548,Ana Torres,Compra urgente
TX-000129,2026-07-29,Q3,Arequipa,Resma Papel A4,Suministros,5,26.95,0.15,CL-1455,Lucía Romero,
TX-000130,2026-08-20,Q3,Chiclayo,Lámpara LED,Mobiliario,15,93.89,0.1,CL-6517,María Fernández,Devolución parcial Q anterior
TX-000131,2026-07-26,Q3,Arequipa,Teclado Mecánico,Tecnología,49,363.28,0.05,CL-5089,José Luis Quispe,Solicita factura electrónica
TX-000132,2026-07-22,Q3,Trujillo,Mouse Inalámbrico,Tecnología,44,115.28,0.15,CL-4342,José Luis Quispe,Primera compra
TX-000133,2026-02-03,Q1,Chiclayo,Silla Ergonómica,Mobiliario,46,848.61,0.2,CL-8022,María Fernández,Primera compra
TX-000134,2026-07-24,Q3,Trujillo,Laptop Pro 15,Tecnología,2,4655.15,0.2,CL-3244,María Fernández,"Pedido grande, descuento aplicado"
TX-000135,2026-10-18,Q4,Lima,Resma Papel A4,Suministros,33,28.16,0.2,CL-1539,José Luis Quispe,
TX-000136,2026-04-21,Q2,Cusco,Laptop Air 13,Tecnología,32,3107.31,0.2,CL-5492,Lucía Romero,"Pedido grande, descuento aplicado"
TX-000137,2026-08-09,Q3,Cusco,Silla Ergonómica,Mobiliario,7,870.02,0.1,CL-7692,Lucía Romero,"Pedido grande, descuento aplicado"
TX-000138,2026-01-12,Q1,Arequipa,Lámpara LED,Mobiliario,45,96.72,0.0,CL-2203,María Fernández,"Pedido grande, descuento aplicado"
TX-000139,2026-05-07,Q2,Arequipa,Laptop Pro 15,Tecnología,20,4437.98,0.2,CL-9860,María Fernández,
TX-000140,2026-06-09,Q2,Trujillo,Webcam HD,Electrónica,48,171.83,0.1,CL-7049,Ana Torres,Cliente recurrente
TX-000141,2026-12-25,Q4,Cusco,Mouse Inalámbrico,Tecnología,6,114.09,0.15,CL-9405,Lucía Romero,Primera compra
TX-000142,2026-03-20,Q1,Arequipa,Laptop Pro 15,Tecnología,32,4646.43,0.0,CL-5230,Carlos Vega,"Pedido grande, descuento aplicado"
TX-000143,2026-04-11,Q2,Cusco,Lámpara LED,Mobiliario,7,93.3,0.2,CL-2108,María Fernández,Cliente recurrente
TX-000144,2026-05-30,Q2,Cusco,Escritorio Ajustable,Mobiliario,47,1156.53,0.2,CL-2598,Diego Salazar,Devolución parcial Q anterior
TX-000145,2026-12-29,Q4,Arequipa,Lámpara LED,Mobiliario,30,95.18,0.2,CL-5505,Lucía Romero,
TX-000146,2026-11-08,Q4,Cusco,Cartucho Tinta Negra,Suministros,4,78.16,0.0,CL-6294,María Fernández,
TX-000147,2026-01-13,Q1,Chiclayo,Silla Ergonómica,Mobiliario,11,808.22,0.2,CL-7606,María Fernández,"Pedido grande, descuento aplicado"
TX-000148,2026-03-27,Q1,Trujillo,Cartucho Tinta Negra,Suministros,18,71.67,0.15,CL-8157,Carlos Vega,Cliente recurrente
TX-000149,2026-10-27,Q4,Trujillo,Mouse Inalámbrico,Tecnología,1,119.0,0.0,CL-7863,José Luis Quispe,
TX-000150,2026-01-22,Q1,Chiclayo,Escritorio Ajustable,Mobiliario,1,1221.12,0.1,CL-6298,Ana Torres,Solicita factura electrónica
TX-000151,2026-11-09,Q4,Trujillo,Laptop Air 13,Tecnología,46,3192.35,0.1,CL-1162,Diego Salazar,Cliente recurrente
TX-000152,2026-04-13,Q2,Arequipa,Lámpara LED,Mobiliario,49,98.78,0.15,CL-5766,Diego Salazar,Cliente premium
TX-000153,2026-12-01,Q4,Cusco,Teclado Mecánico,Tecnología,27,334.04,0.0,CL-8374,Carlos Vega,
TX-000154,2026-04-18,Q2,Cusco,Resma Papel A4,Suministros,45,27.55,0.1,CL-8628,Carlos Vega,
TX-000155,2026-06-08,Q2,Cusco,Cartucho Tinta Negra,Suministros,33,73.89,0.15,CL-8509,José Luis Quispe,
TX-000156,2026-08-30,Q3,Lima,Auriculares BT,Electrónica,2,216.48,0.15,CL-1096,José Luis Quispe,Cliente recurrente
TX-000157,2026-02-16,Q1,Lima,Webcam HD,Electrónica,36,179.78,0.15,CL-4917,José Luis Quispe,
TX-000158,2026-07-23,Q3,Cusco,Laptop Air 13,Tecnología,1,3292.98,0.15,CL-6550,Ana Torres,Cliente premium
TX-000159,2026-07-04,Q3,Chiclayo,Laptop Air 13,Tecnología,41,3141.72,0.15,CL-3227,Lucía Romero,Primera compra
TX-000160,2026-10-14,Q4,Piura,Webcam HD,Electrónica,18,184.4,0.0,CL-4686,Ana Torres,Primera compra
TX-000161,2026-12-30,Q4,Chiclayo,Mouse Inalámbrico,Tecnología,7,115.76,0.15,CL-1876,María Fernández,Primera compra
TX-000162,2026-08-31,Q3,Arequipa,Laptop Pro 15,Tecnología,13,4527.33,0.05,CL-2741,Lucía Romero,Compra urgente
TX-000163,2026-05-30,Q2,Cusco,Teclado Mecánico,Tecnología,34,345.63,0.1,CL-1052,Diego Salazar,Primera compra
TX-000164,2026-05-29,Q2,Trujillo,Auriculares BT,Electrónica,42,220.86,0.1,CL-9815,José Luis Quispe,
TX-000165,2026-06-02,Q2,Cusco,Mouse Inalámbrico,Tecnología,28,115.29,0.2,CL-8736,Ana Torres,Primera compra
TX-000166,2026-10-25,Q4,Cusco,Laptop Pro 15,Tecnología,8,4704.06,0.05,CL-4633,Lucía Romero,"Pedido grande, descuento aplicado"
TX-000167,2026-04-28,Q2,Cusco,Resma Papel A4,Suministros,45,29.14,0.05,CL-1038,Ana Torres,
TX-000168,2026-03-02,Q1,Lima,Monitor 27 4K,Tecnología,39,1858.75,0.15,CL-4017,Carlos Vega,"Pedido grande, descuento aplicado"
TX-000169,2026-05-03,Q2,Chiclayo,Mouse Inalámbrico,Tecnología,21,124.71,0.15,CL-4906,Ana Torres,
TX-000170,2026-01-09,Q1,Chiclayo,Laptop Pro 15,Tecnología,28,4341.01,0.05,CL-2520,Diego Salazar,Cliente premium
TX-000171,2026-02-08,Q1,Lima,Lámpara LED,Mobiliario,48,95.04,0.05,CL-6954,María Fernández,Cliente recurrente
TX-000172,2026-02-02,Q1,Cusco,Silla Ergonómica,Mobiliario,19,834.52,0.2,CL-9978,José Luis Quispe,
TX-000173,2026-10-09,Q4,Trujillo,Auriculares BT,Electrónica,2,228.52,0.2,CL-8594,Lucía Romero,"Pedido grande, descuento aplicado"
TX-000174,2026-09-21,Q3,Piura,Mouse Inalámbrico,Tecnología,8,116.27,0.0,CL-8703,Diego Salazar,Cliente premium
TX-000175,2026-09-12,Q3,Chiclayo,Monitor 27 4K,Tecnología,30,1749.59,0.05,CL-8477,Diego Salazar,
TX-000176,2026-06-18,Q2,Cusco,Laptop Air 13,Tecnología,49,3259.75,0.15,CL-1629,Ana Torres,
TX-000177,2026-09-19,Q3,Piura,Monitor 27 4K,Tecnología,37,1726.0,0.0,CL-5962,María Fernández,
TX-000178,2026-02-28,Q1,Chiclayo,Silla Ergonómica,Mobiliario,31,869.75,0.0,CL-6091,María Fernández,
TX-000179,2026-11-25,Q4,Piura,Laptop Air 13,Tecnología,16,3125.8,0.0,CL-1908,Lucía Romero,Cliente premium
TX-000180,2026-07-02,Q3,Arequipa,Mouse Inalámbrico,Tecnología,22,121.93,0.1,CL-2326,María Fernández,"Pedido grande, descuento aplicado"
TX-000181,2026-12-09,Q4,Piura,Auriculares BT,Electrónica,2,228.21,0.1,CL-6086,Carlos Vega,Devolución parcial Q anterior
TX-000182,2026-02-25,Q1,Cusco,Cartucho Tinta Negra,Suministros,19,75.82,0.05,CL-7441,Lucía Romero,Cliente premium
TX-000183,2026-07-01,Q3,Lima,Lámpara LED,Mobiliario,31,92.27,0.0,CL-2881,María Fernández,Devolución parcial Q anterior
TX-000184,2026-09-12,Q3,Piura,Auriculares BT,Electrónica,45,210.08,0.15,CL-5356,Lucía Romero,"Pedido grande, descuento aplicado"
TX-000185,2026-06-30,Q2,Chiclayo,Cartucho Tinta Negra,Suministros,46,71.58,0.2,CL-1676,María Fernández,
TX-000186,2026-06-12,Q2,Cusco,Lámpara LED,Mobiliario,41,91.09,0.05,CL-1993,María Fernández,Solicita factura electrónica
TX-000187,2026-03-02,Q1,Cusco,Auriculares BT,Electrónica,2,221.76,0.15,CL-6221,Ana Torres,Primera compra
TX-000188,2026-05-20,Q2,Cusco,Laptop Air 13,Tecnología,40,3151.43,0.15,CL-6012,Ana Torres,Solicita factura electrónica
TX-000189,2026-03-29,Q1,Lima,Cartucho Tinta Negra,Suministros,11,73.07,0.1,CL-7750,Ana Torres,Compra urgente
TX-000190,2026-04-21,Q2,Chiclayo,Teclado Mecánico,Tecnología,31,340.18,0.1,CL-9195,Carlos Vega,Primera compra
TX-000191,2026-09-07,Q3,Lima,Resma Papel A4,Suministros,47,29.26,0.0,CL-2709,María Fernández,Cliente premium
TX-000192,2026-08-19,Q3,Trujillo,Auriculares BT,Electrónica,44,211.61,0.2,CL-4070,Ana Torres,Compra urgente
TX-000193,2026-08-10,Q3,Lima,Silla Ergonómica,Mobiliario,33,833.41,0.2,CL-8702,Ana Torres,Devolución parcial Q anterior
TX-000194,2026-05-13,Q2,Piura,Laptop Air 13,Tecnología,15,3190.87,0.15,CL-1457,Diego Salazar,Cliente recurrente
TX-000195,2026-12-17,Q4,Chiclayo,Mouse Inalámbrico,Tecnología,26,114.01,0.2,CL-8453,Diego Salazar,"Pedido grande, descuento aplicado"
TX-000196,2026-02-01,Q1,Trujillo,Mouse Inalámbrico,Tecnología,35,125.05,0.15,CL-9505,Carlos Vega,Cliente premium
TX-000197,2026-05-06,Q2,Trujillo,Webcam HD,Electrónica,26,172.78,0.15,CL-1899,Diego Salazar,Devolución parcial Q anterior
TX-000198,2026-02-13,Q1,Piura,Webcam HD,Electrónica,20,183.28,0.2,CL-2276,Ana Torres,Cliente recurrente
